retailerUniqueId,locationUniqueId,isDeliveryLocationNotAvailable,isPickupLocationNotAvailable
097d10d6d62c258eda9b0d947fdaa03e,ac0608dd44ddc4c968923633bec058bb,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,03912d9415d3cb749ce187ea3eb54595,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,7df5b2095bf18d85f56abdf9766da676,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,40c29888aa54f93367715140555f6fa6,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,2aac54f6ca37d81d20edc02aeeead7a1,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,ec064651b3be2f08e08e7aa946a20a0f,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,192e0d94c6795d121274339ab9edf36d,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,228aedc8c3e91ef9f33fab3b2b8d2440,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,fcb1d502f425adc5c62177f025ad5f58,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,57032a99929df8799def01b440b8e334,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,ee038a34e73401406baca9bac3c73ae6,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,ba8ffa1afc7fd8e175c95b9cbdbbfe14,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,f47d916f242d02d1369470ec79d54621,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,af2696f7e171ddb18cd970903290fd38,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,a87827c59a521681633cd2741044df54,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,79adc412d85e220ee98808b5cf139650,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,b3db55ce7ec9ca8b0670a6b5da9dff77,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,dab831bb6232369e5b636b6ac395439f,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,8677c5931caccb37f6571b8b02dbd899,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,5b17bf09df8e63bd2abcc9e3d0d7af79,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,7a6549552d7b8bdb1dee863f64396a3a,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,9081f5e4894916bb52e1eac6ca0ddf94,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,2ba39a78865903e31a21d0f3173aa151,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,b40e62726d6afcee1fae1622ab4b96b8,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,c8c7cd1714f6c69aaae522a0260fb0e6,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,6e0c8f39c5968b07b3a723b964d87bdb,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,25024d8adf11a807abf2ed6a6cef8c54,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,30fe99ffef5675ad454ee8c55801eb50,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,b692b460a2321482266c48d593fa045a,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,0534f4d68675fe5b217f13023e48deea,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,eda1c11f6c6808076b33b06bb0311845,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,37f3ecaf2d177e5e5edfed5034ecef2f,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,fbf07d048e1912650ef91925d9470dde,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,8c59e481fd39acef1dd319d7f7c6c0df,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,06cdaa4d050a4b15fc054cf998e21d2f,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,fcb868cd7eb84275e0296c29ea98704a,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,5b1a37e76ff8065ace15ac14dae87886,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,7264b199c11df3b011259e47227b1998,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,98ab9307fd30a88c46ffe17cc56cd42c,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,50c964de83bfb8ddbf914145411909a2,Y,Y
6853957ae70fbdb6fbbbc6d24aacd1f1,737962c1bfed7a1ad714d49bb6db5e82,Y,Y
